953.31	356.697	101.505	10.099
953.33	358.042	101.901	10.105
953.34	358.398	102	10.104
953.35	359.034	102.185	10.106
953.36	357.99	101.893	10.108
953.38	357.279	101.697	10.111
953.39	357.621	101.79	10.109
953.40	358.131	101.936	10.109
953.41	359.148	102.221	10.107
953.43	358.015	101.894	10.105
953.44	358.128	101.946	10.113
953.45	357.791	101.859	10.117
953.46	356.438	101.47	10.116
953.48	358.957	102.197	10.12
953.49	358.157	101.972	10.121
953.50	359.813	102.426	10.114
953.51	358.363	101.996	10.106
953.53	358.322	101.986	10.107
953.54	358.996	102.188	10.111
953.55	357.732	101.832	10.113
953.56	357.879	101.873	10.113
953.58	357.908	101.89	10.116
953.59	359.24	102.259	10.112
954.00	358.101	101.93	10.11
954.01	358.72	102.097	10.106
954.03	358.804	102.118	10.105
954.04	358.421	102.023	10.111
954.05	357.062	101.646	10.115
954.06	358.22	101.976	10.115
954.08	356.943	101.612	10.115
954.09	358.128	101.943	10.112
954.10	358.092	101.927	10.11
954.11	358.14	101.938	10.109
954.13	356.636	101.52	10.113
954.14	356.677	101.538	10.115
954.15	357.368	101.732	10.115
954.16	358.428	102.032	10.114
954.17	357.406	101.741	10.114
954.19	357.545	101.79	10.118
954.20	357.966	101.911	10.118
954.21	357.668	101.83	10.12
954.22	357.97	101.913	10.118
954.24	357.507	101.779	10.117
954.25	357.273	101.71	10.116
954.26	357.526	101.787	10.119
954.27	357.821	101.87	10.118
954.29	357.826	101.878	10.121
954.30	357.48	101.786	10.124
954.31	357.851	101.895	10.125
954.32	357.731	101.865	10.127
954.34	358.099	101.978	10.13
954.35	357.785	101.9	10.135
954.36	358.071	101.965	10.128
954.37	357.858	101.884	10.12
954.39	357.109	101.665	10.117
954.40	357.575	101.78	10.11
954.41	358.901	102.161	10.111
954.42	358.689	102.088	10.106
954.44	358.096	101.922	10.107
954.45	358.182	101.957	10.112
954.46	359.915	102.463	10.117
954.47	357.2	101.686	10.115
954.49	359.246	102.257	10.11
954.50	356.661	101.521	10.11
954.51	356.903	101.595	10.112
954.52	356.598	101.482	10.102
954.54	358.263	101.889	10.074
954.55	358.411	101.913	10.066
954.56	357.574	101.661	10.06
954.57	358.127	101.814	10.059
954.59	358.075	101.77	10.046
955.00	359	102.034	10.047
955.01	358.27	101.841	10.053
955.02	357.925	101.729	10.047
955.04	357.634	101.637	10.043
955.05	357.03	101.458	10.04
955.06	358.419	101.852	10.04
955.07	356.71	101.363	10.038
955.09	357.559	101.598	10.036
955.10	356.987	101.44	10.038
955.11	358.262	101.801	10.037
955.12	356.922	101.417	10.036
955.14	356.231	101.226	10.038
955.15	355.894	101.107	10.028
955.16	358.277	101.783	10.028
955.17	355.951	101.148	10.039
955.19	356.029	101.176	10.041
955.20	356.989	101.438	10.037
955.21	358.272	101.811	10.04
955.22	357.516	101.602	10.042
955.24	355.852	101.138	10.046
955.25	357.054	101.467	10.041
955.26	358.136	101.78	10.043
955.27	356.447	101.313	10.049
955.29	356.66	101.366	10.045
955.30	356.21	101.245	10.048
955.31	357.788	101.699	10.051
955.32	357.699	101.659	10.045
955.33	357.474	101.595	10.044
955.35	357.788	101.673	10.04
955.36	357.327	101.546	10.042
955.37	357.258	101.532	10.044
955.38	357.858	101.7	10.043
955.40	356.959	101.457	10.048
955.41	358.032	101.753	10.044
